merged_label,count,top_remedy,remedy_coverage,suggested_display_name
healthy,252,implement integrated pest management strategy combine monitoring cultural control targeted intervention necessary,1.0,Healthy
bacterial spot,47,apply copper bactericide mixed mancozeb enhanced control combination provides bacterial fungal protection,1.0,Bacterial Spot
black rot,45,remove destroy mummified fruit tree orchard floor mummy primary source fungal spore next growing season,1.0,Black Rot
powdery mildew,44,use forecast system optimal spray timing available applying treatment based disease risk prediction rather calendar date,1.0,Powdery Mildew
early blight,30,apply fungicide containing azoxystrobin provides protective curative activity early blight fungi,1.0,Early Blight
late blight,30,destroy infected plant immediately upon detection prevent epidemic spread late blight devastate entire planting within day favorable condition,1.0,Late Blight
brown rot,24,remove destroy infected fruit twig promptly eliminate source fungal spore continue disease cycle,1.0,Brown Rot
apple scab,24,apply fungicide spray starting green tip stage petal fall ensuring thorough coverage long term control plant resistant variety like liberty enterprise improve air circulation proper tree spacing pruning,1.0,Scab
cercospora leaf spot,23,rotate crop non host plant least one year corn planting reduce buildup fungal spore soil,1.0,Cercospora Leaf Spot
leaf spot,23,apply copper based fungicide early season protective measure symptom appear following label direction carefully,1.0,Leaf Spot
mummy berry,23,remove destroy mummified berry bush ground beneath eliminate primary source fungal spore,1.0,Mummy Berry
cedar apple rust,23,effective long term control remove nearby juniper plant alternate host within mile radius break disease cycle,1.0,Rust
haunglongbing,22,remove infected tree immediately upon confirmation prevent spread devastating disease healthy tree orchard,1.0,Haunglongbing
common rust,22,plant rust resistant variety suited area genetic resistance effective economical control method disease,1.0,Rust
northern leaf blight,21,use resistant hybrid good tolerance rating specifically developed northern leaf blight management growing region,1.0,Northern Leaf Blight
citrus canker,20,remove destroy infected plant part promptly including fallen leaf fruit eliminate source bacterial inoculum,1.0,Citrus Canker
peach leaf curl,19,apply copper fungicide late fall leaf drop early spring bud swell protect emerging leaf infection,1.0,Peach Leaf Curl
bacterial wilt,17,control cucumber beetle population appropriate insecticide insect primary vector transmit bacterial wilt pathogen,1.0,Bacterial Spot
common scab,17,maintain soil ph around discourage scab development pathogen less active acidic soil condition,1.0,Scab
gray mold,17,remove infected plant part promptly upon detection reduce spore load limit spread healthy flower developing fruit,1.0,Leaf Mold
frogeye leaf spot,17,use disease free certified seed reputable source ensure plant start healthy free seedborne contamination pathogen,1.0,Frogeye Leaf Spot
leaf scorch,16,apply fungicide early spring symptom first appear ensuring thorough coverage leaf surface effective disease control,1.0,Leaf Scorch
cane blight,16,remove burn infected cane immediately upon detection eliminate source fungal inoculum spread healthy cane,1.0,Cane Blight
soybean rust,16,apply preventive fungicide disease establishment particularly area soybean rust typically occurs weather condition favor development,1.0,Rust
target spot,14,apply fungicide containing azoxystrobin first symptom appearance fungicide group provides protective curative activity target spot pathogen,1.0,Target Spot
leaf mold,12,improve greenhouse ventilation increase spacing plant garden reduce humidity level use fan greenhouse maintain air movement prevent stagnant humid condition favor disease development,1.0,Leaf Mold
septoria leaf spot,12,remove infected leaf soon spot appear reduce spore production limit spread healthy foliage regular scouting prompt removal significantly reduce disease severity,1.0,Septoria Leaf Spot
tomato mosaic virus,12,use virus free seed reliable supplier test seed stock virus contamination starting clean seed foundation mosaic virus prevention,1.0,Tomato Mosaic Virus
tomato yellow leaf curl virus,12,control whitefly population appropriate insecticide insect primary vector transmit virus infected healthy plant feeding,1.0,Tomato Yellow Leaf Curl Virus
anthracnose,10,prune destroy infected cane dormancy removing visibly affected wood reduce overwintering site fungus,1.0,Anthracnose
